  513 242.692006741 56:c7:bf:73:ae:3c → Broadcast    802.11 264  11 Beacon frame, SN=2946, FN=0, Flags=........, BI=100, SSID=TP-LINK_Guest_AE3C
  514 242.699724685 BelkinIn_81:ed:c6 → Broadcast    802.11 280  11 Beacon frame, SN=3060, FN=0, Flags=........, BI=100, SSID=JFBO
  515 242.721113149 BelkinIn_97:29:d5 → Broadcast    802.11 340  11 Beacon frame, SN=1633, FN=0, Flags=........, BI=100, SSID=Baaijens
  516 242.745948217 Tp-LinkT_42:4b:de → Broadcast    802.11 318  11 Beacon frame, SN=2746, FN=0, Flags=........, BI=100, SSID=codroipo
  517 243.021828213 Tp-LinkT_73:ae:3a → Broadcast    802.11 368  36 Beacon frame, SN=526, FN=0, Flags=........, BI=100, SSID=Guil 5G
  518 243.022813834 Tp-LinkT_73:b1:66 → Broadcast    802.11 370  36 Beacon frame, SN=3822, FN=0, Flags=........, BI=100, SSID=Yowifi-5G
  519 243.071638913 BelkinIn_97:29:d6 → Broadcast    802.11 318  36 Beacon frame, SN=1795, FN=0, Flags=........, BI=100, SSID=Baaijens
  520 243.304183025 Tp-LinkT_6b:78:9d → Broadcast    802.11 335  44 Beacon frame, SN=2962, FN=0, Flags=........, BI=100, SSID=WiFie-5GHz
  521 255.888953558 Tp-LinkT_34:03:62 → Broadcast    802.11 309  1 Beacon frame, SN=565, FN=0, Flags=........, BI=100, SSID=Govern
  522 255.891374759 Tp-LinkT_73:b1:67 → Broadcast    802.11 307  1 Beacon frame, SN=1941, FN=0, Flags=........, BI=100, SSID=Yowifi
  523 255.893661714 BelkinIn_da:6d:de → Broadcast    802.11 262  1 Beacon frame, SN=1375, FN=0, Flags=........, BI=100, SSID=Router Joeri
  524 255.913977275 D-LinkIn_39:c3:00 → Broadcast    802.11 332  1 Beacon frame, SN=3371, FN=0, Flags=........, BI=100, SSID=Youri-Netwerk 2.4GHz
  525 255.926243293 Tp-LinkT_6b:78:9e → Broadcast    802.11 308  1 Beacon frame, SN=668, FN=0, Flags=........, BI=100, SSID=WiFie
  526 255.965606692 D-LinkIn_7d:53:8b → Broadcast    802.11 325  2 Beacon frame, SN=2300, FN=0, Flags=........, BI=100, SSID=Shaiv Parikh
  527 256.016446858 D-LinkIn_39:c3:00 → Broadcast    802.11 332  2 Beacon frame, SN=3372, FN=0, Flags=........, BI=100, SSID=Youri-Netwerk 2.4GHz
  528 256.068009459 D-LinkIn_7d:53:8b → Broadcast    802.11 325  2 Beacon frame, SN=2301, FN=0, Flags=........, BI=100, SSID=Shaiv Parikh
  529 256.170424222 D-LinkIn_7d:53:8b → Broadcast    802.11 325  3 Beacon frame, SN=2302, FN=0, Flags=........, BI=100, SSID=Shaiv Parikh
  530 256.329377413 Tp-LinkT_af:6a:2f → Broadcast    802.11 317  4 Beacon frame, SN=146, FN=0, Flags=........, BI=100, SSID=nfac
  531 256.587156908 Tp-LinkT_53:67:fc → Broadcast    802.11 276  7 Beacon frame, SN=3117, FN=0, Flags=........, BI=100, SSID=TP-LINK Delft
  532 256.689637736 Tp-LinkT_53:67:fc → Broadcast    802.11 276  7 Beacon frame, SN=3118, FN=0, Flags=........, BI=100, SSID=TP-LINK Delft
  533 256.792034993 Tp-LinkT_53:67:fc → Broadcast    802.11 276  8 Beacon frame, SN=3119, FN=0, Flags=........, BI=100, SSID=TP-LINK Delft
  534 256.906818622 Tp-LinkT_e6:8e:b2 → Broadcast    802.11 294  9 Beacon frame, SN=2574, FN=0, Flags=........, BI=100, SSID=Athreya
  535 257.009213885 Tp-LinkT_e6:8e:b2 → Broadcast    802.11 294  10 Beacon frame, SN=2575, FN=0, Flags=........, BI=100, SSID=Athreya
  536 257.125962884 D-LinkIn_43:7a:e0 → Broadcast    802.11 318  11 Beacon frame, SN=993, FN=0, Flags=........, BI=100, SSID=Metten
  537 257.128374322 Tp-LinkT_73:ae:3b → Broadcast    802.11 305  11 Beacon frame, SN=3241, FN=0, Flags=........, BI=100, SSID=Guil
  538 257.130452844 56:c7:bf:73:ae:3c → Broadcast    802.11 264  11 Beacon frame, SN=3242, FN=0, Flags=........, BI=100, SSID=TP-LINK_Guest_AE3C
  539 257.160113581 BelkinIn_97:29:d5 → Broadcast    802.11 340  11 Beacon frame, SN=1800, FN=0, Flags=........, BI=100, SSID=Baaijens
  540 257.263226423 BelkinIn_97:29:d5 → Broadcast    802.11 340  12 Beacon frame, SN=1801, FN=0, Flags=........, BI=100, SSID=Baaijens
  541 257.460306656 Tp-LinkT_73:ae:3a → Broadcast    802.11 368  36 Beacon frame, SN=679, FN=0, Flags=........, BI=100, SSID=Guil 5G
  542 257.461269800 Tp-LinkT_73:b1:66 → Broadcast    802.11 370  36 Beacon frame, SN=3967, FN=0, Flags=........, BI=100, SSID=Yowifi-5G
  543 257.510165080 BelkinIn_97:29:d6 → Broadcast    802.11 318  36 Beacon frame, SN=1954, FN=0, Flags=........, BI=100, SSID=Baaijens
  544 270.309513991 BelkinIn_8c:fe:a1 → Broadcast    802.11 248  1 Beacon frame, SN=1686, FN=0, Flags=........, BI=100, SSID=LinksysLinnie
  545 270.328682174 Tp-LinkT_73:b1:67 → Broadcast    802.11 307  1 Beacon frame, SN=2114, FN=0, Flags=........, BI=100, SSID=Yowifi
  546 270.355264536 Tp-LinkT_6b:78:9e → Broadcast    802.11 308  1 Beacon frame, SN=811, FN=0, Flags=........, BI=100, SSID=WiFie
  547 270.361322238 D-LinkIn_43:72:64 → Broadcast    802.11 329  1 Beacon frame, SN=720, FN=0, Flags=........, BI=100, SSID=Bas Segaar 2.4GHz
  548 270.374006096 BelkinIn_28:75:00 → Broadcast    802.11 290  1 Beacon frame, SN=426, FN=0, Flags=........, BI=100, SSID=Marcel Kempers
  549 270.404044976 D-LinkIn_7d:53:8b → Broadcast    802.11 325  1 Beacon frame, SN=2457, FN=0, Flags=........, BI=100, SSID=Shaiv Parikh
  550 270.457646122 Tp-LinkT_6b:78:9e → Broadcast    802.11 308  2 Beacon frame, SN=812, FN=0, Flags=........, BI=100, SSID=WiFie
  551 270.506445726 D-LinkIn_7d:53:8b → Broadcast    802.11 325  2 Beacon frame, SN=2458, FN=0, Flags=........, BI=100, SSID=Shaiv Parikh
  552 270.608772004 D-LinkIn_7d:53:8b → Broadcast    802.11 325  3 Beacon frame, SN=2459, FN=0, Flags=........, BI=100, SSID=Shaiv Parikh
  553 270.665538232 Tp-LinkT_af:6a:2f → Broadcast    802.11 317  4 Beacon frame, SN=286, FN=0, Flags=........, BI=100, SSID=nfac
  554 270.794700180 Intronic_97:d6:58 → Broadcast    802.11 317  5 Beacon frame, SN=701, FN=0, Flags=........, BI=100, SSID=Eminent
  555 270.897102589 Intronic_97:d6:58 → Broadcast    802.11 317  5 Beacon frame, SN=702, FN=0, Flags=........, BI=100, SSID=Eminent
  556 270.956178701 Tp-LinkT_33:9d:ae → Broadcast    802.11 312  6 Beacon frame, SN=3240, FN=0, Flags=........, BI=100, SSID=Slick Rick
  557 270.960487140 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=1280, FN=0, Flags=........, BI=100, SSID=Himanshu
  558 271.128095913 Tp-LinkT_53:67:fc → Broadcast    802.11 276  7 Beacon frame, SN=3320, FN=0, Flags=........, BI=100, SSID=TP-LINK Delft
  559 271.230497370 Tp-LinkT_53:67:fc → Broadcast    802.11 276  8 Beacon frame, SN=3321, FN=0, Flags=........, BI=100, SSID=TP-LINK Delft
  560 271.242878741 Tp-LinkT_e6:8e:b2 → Broadcast    802.11 294  8 Beacon frame, SN=2745, FN=0, Flags=........, BI=100, SSID=Athreya
  561 271.463996129 Tp-LinkT_73:ae:3b → Broadcast    802.11 305  10 Beacon frame, SN=3527, FN=0, Flags=........, BI=100, SSID=Guil
  562 271.466022494 56:c7:bf:73:ae:3c → Broadcast    802.11 264  10 Beacon frame, SN=3528, FN=0, Flags=........, BI=100, SSID=TP-LINK_Guest_AE3C
  563 271.520520531 Tp-LinkT_42:4b:de → Broadcast    802.11 318  11 Beacon frame, SN=3042, FN=0, Flags=........, BI=100, SSID=codroipo
  564 271.568012972 56:c7:bf:73:ae:3c → Broadcast    802.11 264  11 Beacon frame, SN=3530, FN=0, Flags=........, BI=100, SSID=TP-LINK_Guest_AE3C
  565 271.598465121 BelkinIn_97:29:d5 → Broadcast    802.11 340  11 Beacon frame, SN=1949, FN=0, Flags=........, BI=100, SSID=Baaijens
  566 271.622887012 Tp-LinkT_42:4b:de → Broadcast    802.11 318  11 Beacon frame, SN=3043, FN=0, Flags=........, BI=100, SSID=codroipo
  582 271.780276129 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=1295, FN=0, Flags=........, BI=100, SSID=Himanshu
  587 273.008880913 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=1313, FN=0, Flags=........, BI=100, SSID=Himanshu
  598 274.032867237 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=1329, FN=0, Flags=........, BI=100, SSID=Himanshu
  602 274.648417962 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=1339, FN=0, Flags=........, BI=100, SSID=Himanshu
  606 275.261672879 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=1350, FN=0, Flags=........, BI=100, SSID=Himanshu
  610 276.388094572 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=1365, FN=0, Flags=........, BI=100, SSID=Himanshu
  611 276.797700371 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=1369, FN=0, Flags=........, BI=100, SSID=Himanshu
  613 277.311850938 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=1377, FN=0, Flags=........, BI=100, SSID=Himanshu
  615 277.720493158 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=1384, FN=0, Flags=........, BI=100, SSID=Himanshu
  623 279.152860782 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=1404, FN=0, Flags=........, BI=100, SSID=Himanshu
  624 280.074472370 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=1419, FN=0, Flags=........, BI=100, SSID=Himanshu
  715 282.839255480 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=1469, FN=0, Flags=........, BI=100, SSID=Himanshu
