  658 688.658605240 Cisco_00:cc:2f → Broadcast    802.11 351  140 Beacon frame, SN=2836, FN=0, Flags=........, BI=204, SSID=eduroam
  659 689.285238445 Cisco_00:cc:2f → Broadcast    802.11 351  140 Beacon frame, SN=2845, FN=0, Flags=........, BI=204, SSID=eduroam
  670 690.538636383 Cisco_00:cc:2f → Broadcast    802.11 351  140 Beacon frame, SN=2862, FN=0, Flags=........, BI=204, SSID=eduroam
  671 691.165312236 Cisco_00:cc:2f → Broadcast    802.11 351  140 Beacon frame, SN=2873, FN=0, Flags=........, BI=204, SSID=eduroam
  674 692.209773648 Cisco_00:cc:2f → Broadcast    802.11 351  140 Beacon frame, SN=2888, FN=0, Flags=........, BI=204, SSID=eduroam
  678 693.045344673 Cisco_00:cc:2f → Broadcast    802.11 351  140 Beacon frame, SN=2900, FN=0, Flags=........, BI=204, SSID=eduroam
  701 694.765967186 Cisco_c0:39:de → Broadcast    802.11 330  44 Beacon frame, SN=215, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  722 694.870571515 Cisco_34:e2:ff → Broadcast    802.11 348  44 Beacon frame, SN=1516, FN=0, Flags=........, BI=204, SSID=eduroam
  723 694.876699387 Cisco_c0:39:df → Broadcast    802.11 323  44 Beacon frame, SN=216, FN=0, Flags=........, BI=204, SSID=eduroam
  724 695.085949650 Cisco_c0:39:df → Broadcast    802.11 323  44 Beacon frame, SN=219, FN=0, Flags=........, BI=204, SSID=eduroam
  726 696.965990981 Cisco_c0:39:df → Broadcast    802.11 323  44 Beacon frame, SN=248, FN=0, Flags=........, BI=204, SSID=eduroam
  727 699.472624038 Cisco_c0:39:df → Broadcast    802.11 323  44 Beacon frame, SN=284, FN=0, Flags=........, BI=204, SSID=eduroam
  728 699.681495181 Cisco_c0:39:df → Broadcast    802.11 323  44 Beacon frame, SN=287, FN=0, Flags=........, BI=204, SSID=eduroam
  729 703.441574833 Cisco_c0:39:df → Broadcast    802.11 323  44 Beacon frame, SN=341, FN=0, Flags=........, BI=204, SSID=eduroam
  730 704.694998229 Cisco_c0:39:df → Broadcast    802.11 323  44 Beacon frame, SN=359, FN=0, Flags=........, BI=204, SSID=eduroam
  762 717.436712714 Cisco_e1:aa:af → Broadcast    802.11 268  44 Beacon frame, SN=3081, FN=0, Flags=........, BI=200, SSID=eduroam
  778 718.665887221 Cisco_e1:aa:af → Broadcast    802.11 268  44 Beacon frame, SN=3099, FN=0, Flags=........, BI=200, SSID=eduroam
  779 720.508979017 Cisco_e1:aa:af → Broadcast    802.11 268  44 Beacon frame, SN=3126, FN=0, Flags=........, BI=200, SSID=eduroam
  780 721.737835401 Cisco_e1:aa:af → Broadcast    802.11 268  44 Beacon frame, SN=3144, FN=0, Flags=........, BI=200, SSID=eduroam
  781 722.557014204 Cisco_e1:aa:af → Broadcast    802.11 268  44 Beacon frame, SN=3159, FN=0, Flags=........, BI=200, SSID=eduroam
  782 724.400114990 Cisco_e1:aa:af → Broadcast    802.11 268  44 Beacon frame, SN=3186, FN=0, Flags=........, BI=200, SSID=eduroam
  783 725.833796616 Cisco_e1:aa:af → Broadcast    802.11 268  44 Beacon frame, SN=3207, FN=0, Flags=........, BI=200, SSID=eduroam
  784 726.652980060 Cisco_e1:aa:af → Broadcast    802.11 268  44 Beacon frame, SN=3219, FN=0, Flags=........, BI=200, SSID=eduroam
  785 727.676964421 Cisco_e1:aa:af → Broadcast    802.11 268  44 Beacon frame, SN=3234, FN=0, Flags=........, BI=200, SSID=eduroam
  786 728.291307934 Cisco_e1:aa:af → Broadcast    802.11 268  44 Beacon frame, SN=3243, FN=0, Flags=........, BI=200, SSID=eduroam
  787 728.905743425 Cisco_e1:aa:af → Broadcast    802.11 268  44 Beacon frame, SN=3252, FN=0, Flags=........, BI=200, SSID=eduroam
  796 732.953849984 Cisco_0e:be:0e → Broadcast    802.11 327  116 Beacon frame, SN=1041, FN=0, Flags=........, BI=204, SSID=TUvisitor
  822 734.108906977 Cisco_0e:be:0f → Broadcast    802.11 347  116 Beacon frame, SN=1059, FN=0, Flags=........, BI=204, SSID=eduroam
  847 734.318163442 Cisco_0e:be:0f → Broadcast    802.11 347  116 Beacon frame, SN=1063, FN=0, Flags=........, BI=204, SSID=eduroam
  868 735.596584894 Cisco_e0:d9:3f → Broadcast    802.11 268  56 Beacon frame, SN=48, FN=0, Flags=........, BI=200, SSID=eduroam
  910 743.509278050 Cisco_0e:be:0f → Broadcast    802.11 347  116 Beacon frame, SN=1195, FN=0, Flags=........, BI=204, SSID=eduroam
  913 749.149236683 Cisco_0e:be:0f → Broadcast    802.11 350  116 Beacon frame, SN=1276, FN=0, Flags=........, BI=204, SSID=eduroam
  915 750.193671157 Cisco_0e:be:0f → Broadcast    802.11 347  116 Beacon frame, SN=1291, FN=0, Flags=........, BI=204, SSID=eduroam
  916 753.118143542 Cisco_0e:be:0f → Broadcast    802.11 347  116 Beacon frame, SN=1333, FN=0, Flags=........, BI=204, SSID=eduroam
  917 753.327091197 Cisco_0e:be:0f → Broadcast    802.11 347  116 Beacon frame, SN=1336, FN=0, Flags=........, BI=204, SSID=eduroam
  918 753.953732528 Cisco_0e:be:0f → Broadcast    802.11 347  116 Beacon frame, SN=1345, FN=0, Flags=........, BI=204, SSID=eduroam
  919 759.802720081 Cisco_0e:be:0f → Broadcast    802.11 347  116 Beacon frame, SN=1429, FN=0, Flags=........, BI=204, SSID=eduroam
  927 766.125020929 Avm_c7:60:b2 → Broadcast    802.11 392  116 Beacon frame, SN=1840, FN=0, Flags=........, BI=100, SSID=straalkoe
  928 766.227435179 Avm_c7:60:b2 → Broadcast    802.11 392  116 Beacon frame, SN=1841, FN=0, Flags=........, BI=100, SSID=straalkoe
