HuaweiTe_1b:cc:6d SSID=HUAWEI-E5186-5G-CC6B
HuaweiTe_3c:75:74 SSID=VFNL-3C75675G
HuaweiTe_3e:35:6c SSID=VFNL-3E355F5G
HuaweiTe_40:1b:68 SSID=T-Mobile
HuaweiTe_40:1b:6c SSID=T-Mobile
HuaweiTe_4b:9e:d0 SSID=VFNL-4B9EC35G
HuaweiTe_60:99:60 SSID=VFNL-609958
HuaweiTe_a4:a3:54 SSID=HUAWEI-KK9ZRS
HuaweiTe_a4:a3:58 SSID=HUAWEI-KK9ZRS-5G
HuaweiTe_ce:37:a4 SSID=TMNL-CE379E
HuaweiTe_d4:c5:08 SSID=VFNL-D4C501
HuaweiTe_e1:44:17 SSID=VorkWifi
HuaweiTe_ee:41:c0 SSID=HuizeDIOZ
IntelCor_7d:8c:f0 
Intronic_84:f9:f4 SSID=eminent694
Intronic_86:c4:5e SSID=eminent
Intronic_96:33:88 SSID=Eminent
Intronic_97:d0:7c SSID=Rob
Intronic_97:d6:58 SSID=Eminent
JumpIndu_d6:3e:82 SSID=De
KyushuMa_59:12:27 SSID=\000\000\000\000\000\000\000\000
Lancom_15:ba:43 SSID=K-Beierd
Lancom_1b:f6:0c SSID=Blokker
Lancom_1b:f6:a4 SSID=\000
Lancom_1c:20:a4 SSID=\000
Lancom_1c:24:b3 SSID=Blokker
Lancom_1c:24:da SSID=Blokker
Lancom_1d:d1:03 SSID=Eijsink81996
